gbifid,species,latitude,longitude,pa,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1836694934.0,Pinus edulis,32.944997,-105.832305,1,10.0,14.3,4.5,635.9,26.1,-5.2,31.3,17.3,9.2,18.3,2.0,506.0,102.0,12.0,67.0,262.0,58.0,240.0,90.0
1836687536.0,Pinus edulis,32.991394,-108.048639,1,10.2,18.8,5.1,668.8,29.1,-7.3,36.4,18.3,13.4,19.1,1.9,451.0,93.0,10.0,72.0,243.0,44.0,207.0,82.0
1836675880.0,Pinus edulis,36.294344,-109.214016,1,8.9,15.2,3.9,821.9,29.3,-9.6,38.9,18.9,12.6,19.7,-1.5,311.0,45.0,9.0,39.0,117.0,39.0,94.0,70.0
1836664002.0,Pinus edulis,38.103008,-109.853981,1,10.9,15.5,3.6,917.6,33.3,-8.8,42.1,17.6,15.3,22.8,-0.9,254.0,30.0,10.0,25.0,85.0,45.0,66.0,57.0
1836662104.0,Pinus edulis,36.054445,-112.140111,1,7.8,16.2,4.4,721.5,27.8,-8.5,36.3,16.9,10.6,17.3,-0.9,411.0,55.0,14.0,32.0,133.0,57.0,115.0,112.0
1836610042.0,Pinus edulis,32.337222,-106.569444,1,11.5,15.8,4.6,673.1,28.9,-4.8,33.7,19.3,10.7,20.3,3.1,401.0,84.0,8.0,73.0,219.0,38.0,194.0,66.0
1836602339.0,Pinus edulis,36.782222,-103.97,1,8.5,16.2,4.3,759.2,27.6,-10.0,37.6,18.4,-1.0,18.4,-1.0,464.0,86.0,12.0,63.0,219.0,41.0,219.0,41.0
1831231799.0,Pinus edulis,36.061728,-112.107754,1,7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415.0,55.0,14.0,33.0,133.0,57.0,115.0,114.0
1831172807.0,Pinus edulis,35.726247,-105.956298,1,9.0,16.3,4.3,767.2,28.5,-9.2,37.7,18.1,-0.7,18.9,-0.7,402.0,75.0,19.0,56.0,191.0,58.0,177.0,58.0
1807306805.0,Pinus edulis,32.303056,-106.582222,1,11.8,15.8,4.6,677.1,29.2,-4.7,33.9,19.6,10.9,20.6,3.3,392.0,81.0,8.0,73.0,214.0,37.0,189.0,64.0
1807276057.0,Pinus edulis,36.048642,-112.095305,1,7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415.0,55.0,14.0,33.0,133.0,57.0,115.0,114.0
1807270799.0,Pinus edulis,36.059578,-112.105958,1,7.6,16.1,4.4,720.4,27.5,-8.7,36.2,16.7,10.5,17.1,-1.1,415.0,55.0,14.0,33.0,133.0,57.0,115.0,114.0
1806349345.0,Pinus edulis,32.807922,-108.118325,1,11.3,17.8,5.0,673.1,29.8,-5.7,35.5,19.3,10.1,20.2,3.0,432.0,90.0,9.0,72.0,234.0,41.0,200.0,79.0
